cluster_id,cluster_size,classification_type,identity,representative_seqid,blast_quality,predicted_otu,pred_domain,pred_kingdom,pred_phylum,pred_class,pred_order,pred_family,pred_genus,pred_species
25,2,known_species,100.0,JF699552.1,good,Exosphaeroma varicolor,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Isopoda,,Exosphaeroma,Exosphaeroma varicolor
26,2,known_species,100.0,EF650138.1,good,Asilus sericeus,Eukaryota,Opisthokonta,Arthropoda,Insecta,Diptera,,Asilus,Asilus sericeus
27,2,known_species,100.0,AF012517.1,good,Pachyteles striola,Eukaryota,Opisthokonta,Arthropoda,Insecta,Coleoptera,,Pachyteles,Pachyteles striola
28,3,known_species,100.0,FJ267395.1,good,Pediculus humanus capitis,Eukaryota,Opisthokonta,Arthropoda,Insecta,,,Pediculus,Pediculus humanus capitis
29,2,known_species,100.0,FN434084.1,good,Pleistophora mulleri,Eukaryota,Opisthokonta,,,,,Dictyocoela,Pleistophora mulleri
30,3,known_species,100.0,KU555390.1,good,Euplotes qatarensis,Eukaryota,,Sar,Intramacronucleata,Euplotida,Euplotidae,Euplotes,Euplotes qatarensis
31,2,known_species,100.0,EU881943.1,good,Sappinia platani,Eukaryota,,Amoebozoa,,,,Sappinia,Sappinia platani
32,2,known_species,100.0,JQ609343.1,good,Avitellina centripunctata,Eukaryota,Opisthokonta,Platyhelminthes,Cestoda,,,Avitellina,Avitellina centripunctata
33,5,known_species,100.0,EU414416.1,good,Acanthaspidia drygalskii,,,,,,,Acanthaspidia,Acanthaspidia drygalskii
34,2,known_species,100.0,EU647888.1,good,Parahistomonas wenrichi,Eukaryota,Metamonada,,,,,Parahistomonas,Parahistomonas wenrichi
35,3,known_species,100.0,KU681373.1,good,Carapus acus,Eukaryota,Opisthokonta,Chordata,Actinopterygii,,,Carapus,Carapus acus
36,7,known_species,100.0,AY266296.1,good,Thalassophysa pelagica,Eukaryota,,Sar,,,,Thalassophysa,Thalassophysa pelagica
37,2,known_species,100.0,AY625607.1,good,Plasmodium cathemerium,Eukaryota,,Sar,,,,Plasmodium,Plasmodium cathemerium
38,2,known_species,100.0,JQ609341.1,good,Thysaniezia giardi,Eukaryota,Opisthokonta,Platyhelminthes,Cestoda,,,Thysaniezia,Thysaniezia giardi
39,2,known_species,100.0,JN680942.1,good,Aetea anguina,Eukaryota,Opisthokonta,Bryozoa,,,,Aetea,Aetea anguina
40,5,known_species,100.0,AF474324.1,good,Proceraea aurantiaca,Eukaryota,Opisthokonta,Annelida,Polychaeta,,,Proceraea,Proceraea aurantiaca
41,2,known_species,100.0,U83876.1,good,Plasmodium knowlesi,,,,,,,Plasmodium,Plasmodium knowlesi
42,4,known_species,100.0,AY596367.1,good,Leniwytsmania orientalisvar,Eukaryota,Opisthokonta,Arthropoda,,,,Leniwytsmania,Leniwytsmania orientalisvar
43,2,known_species,100.0,GU227365.1,good,Spurilla major,Eukaryota,Opisthokonta,Mollusca,Gastropoda,,,Spurilla,Spurilla major
44,3,known_species,100.0,EU815292.1,good,Theristria imperfecta,Eukaryota,Opisthokonta,Arthropoda,Insecta,,,Theristria,Theristria imperfecta
45,3,known_species,100.0,KP288780.1,good,Protaxymyia thuja,Eukaryota,Opisthokonta,Arthropoda,Insecta,Diptera,,Protaxymyia,Protaxymyia thuja
46,2,known_species,100.0,AY590116.1,good,Blastocystis cycluri,Eukaryota,,Sar,,,,Blastocystis,Blastocystis cycluri
47,4,known_species,100.0,KP419168.1,good,Metrius contractus,,,,,,,Metrius,Metrius contractus
48,2,known_species,100.0,HQ659987.1,good,Phyllocaulis tuberculosus,Eukaryota,Opisthokonta,Mollusca,Gastropoda,,,Phyllocaulis,Phyllocaulis tuberculosus
49,2,known_species,100.0,KP270790.1,good,Callinera kasyanovi,Eukaryota,Opisthokonta,,,,,Callinera,Callinera kasyanovi
50,2,known_species,100.0,AF168881.1,good,Xyris difformis,Eukaryota,Viridiplantae,Streptophyta,,,,Xyris,Xyris difformis
51,2,known_species,100.0,DQ022760.1,good,Ceramium diaphanum,Eukaryota,,Rhodophyta,Florideophyceae,,,Ceramium,Ceramium diaphanum
52,3,known_species,100.0,KP100453.2,good,Linguatula serrata,,,,,,,Linguatula,Linguatula serrata
53,3,known_species,100.0,GQ260092.1,good,Echinococcus granulosus,,,,,,,Echinococcus,Echinococcus granulosus
54,4,known_species,100.0,AF255685.1,good,Riggia paranensis,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Isopoda,,Riggia,Riggia paranensis
55,3,known_species,100.0,EU664450.1,good,Andreanna caspii,Eukaryota,Opisthokonta,,,,,Andreanna,Andreanna caspii
56,2,known_species,100.0,KC172651.1,good,Sporanauta perivermis,Eukaryota,Opisthokonta,,,,,Sporanauta,Sporanauta perivermis
57,3,known_species,100.0,KR025411.1,good,Entamoeba bangladeshi,Eukaryota,,Amoebozoa,,,,Entamoeba,Entamoeba bangladeshi
58,3,known_species,100.0,GQ326883.1,good,Tritoniella belli,Eukaryota,Opisthokonta,Mollusca,Gastropoda,,,Tritoniella,Tritoniella belli
59,4,known_species,100.0,HQ396520.1,good,Neoperezia semenovaiae,Eukaryota,Opisthokonta,,,,,Neoperezia,Neoperezia semenovaiae
60,3,known_species,100.0,AF483838.1,good,Hyalinocysta chapmani,Eukaryota,Opisthokonta,,,,,Hyalinocysta,Hyalinocysta chapmani
61,2,known_species,100.0,KJ542109.1,good,Ptolemeba noxubium,Eukaryota,,Amoebozoa,,,,Ptolemeba,Ptolemeba noxubium
62,2,known_species,100.0,KF711853.1,good,Zopfochytrium polystomum,Eukaryota,Opisthokonta,,,,,Zopfochytrium,Zopfochytrium polystomum
63,2,known_species,100.0,AJ532411.1,good,Euglena tristella,,,,,,,Euglena,Euglena tristella
64,2,known_species,100.0,KP970249.1,good,Corlissina maricaensis,Eukaryota,,Sar,,,,Corlissina,Corlissina maricaensis
65,5,known_species,100.0,KP201366.1,good,Austrarchaea tealei,Eukaryota,Opisthokonta,Arthropoda,Arachnida,,,Austrarchaea,Austrarchaea tealei
66,3,known_species,100.0,MG988587.1,good,Calophya schini,Eukaryota,Opisthokonta,Arthropoda,Insecta,Hemiptera,,Calophya,Calophya schini
67,2,known_species,100.0,LT631064.1,good,Acropora horrida,Eukaryota,Opisthokonta,Cnidaria,,,,Acropora,Acropora horrida
68,2,known_species,100.0,JX271832.1,good,Zschokkella soleae,Eukaryota,Opisthokonta,Cnidaria,,,,Zschokkella,Zschokkella soleae
69,3,known_species,100.0,GQ326909.1,good,Eubranchus sanjuanensis,Eukaryota,Opisthokonta,Mollusca,Gastropoda,,,Eubranchus,Eubranchus sanjuanensis
70,2,known_species,100.0,JX847581.1,good,Staurojoenina assimilis,Eukaryota,Metamonada,,,,,Staurojoenina,Staurojoenina assimilis
71,3,known_species,100.0,KF110991.1,good,Takaokaspora nipponicus,,,,,,,Takaokaspora,Takaokaspora nipponicus
72,2,known_species,100.0,EU414441.1,good,Joeropsis antarctica,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Isopoda,,Joeropsis,Joeropsis antarctica
73,2,known_species,100.0,EU414438.1,good,Iathrippa sarsi,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Isopoda,,Iathrippa,Iathrippa sarsi
74,2,known_species,100.0,HQ286016.1,good,Stygobromus gracilipes,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Amphipoda,,Stygobromus,Stygobromus gracilipes
75,5,known_species,100.0,AY288702.1,good,Pachymerium ferrugineum,Eukaryota,Opisthokonta,Arthropoda,,,,Pachymerium,Pachymerium ferrugineum
76,3,known_species,100.0,MG677839.1,good,Nematobrachion boopis,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,,,Nematobrachion,Nematobrachion boopis
77,2,known_species,100.0,FJ914315.1,good,Mrazekia macrocyclopis,Eukaryota,Opisthokonta,,,,,Mrazekia,Mrazekia macrocyclopis
78,2,known_species,100.0,KY403995.1,good,Hymenolepis microps,Eukaryota,Opisthokonta,Platyhelminthes,Cestoda,,,Hymenolepis,Hymenolepis microps
79,2,known_species,100.0,GU358629.1,good,Vibilia armata,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Amphipoda,,Vibilia,Vibilia armata
80,2,known_species,100.0,HQ687482.1,good,Vexillifera fluvialis,Eukaryota,,Amoebozoa,,,,Vexillifera,Vexillifera fluvialis
81,6,known_species,100.0,JN603865.1,good,Monomorphina pyrum,,,,,,,Monomorphina,Monomorphina pyrum
82,5,known_species,100.0,GU358615.1,good,Hemityphis tenuimanus,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Amphipoda,,Hemityphis,Hemityphis tenuimanus
83,2,known_species,100.0,KJ130033.1,good,Meloidogyne chitwoodi,Eukaryota,Opisthokonta,Nematoda,,,,Meloidogyne,Meloidogyne chitwoodi
84,2,known_species,100.0,MH569534.1,good,Babesia bovis,,,,,,,Babesia,Babesia bovis
85,4,known_species,100.0,FN434091.1,good,Dictyocoela duebenum,Eukaryota,Opisthokonta,,,,,Dictyocoela,Dictyocoela duebenum
86,10,known_species,100.0,EU557247.1,good,Acerentulus sinensis,Eukaryota,Opisthokonta,Arthropoda,,,,Acerentulus,Acerentulus sinensis
87,5,known_species,100.0,KP201369.1,good,Eriauchenius workmani,,,,,,,Eriauchenius,Eriauchenius workmani
88,4,known_species,100.0,KU941987.1,good,Euglena agilis,,,,,,,Euglena,Euglena agilis
89,3,known_species,100.0,MH174292.1,good,Dinenympha fimbriata,Eukaryota,Metamonada,,,,,Dinenympha,Dinenympha fimbriata
90,2,known_species,100.0,JN232926.1,good,Metatrichoniscoides leydigii,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Isopoda,,Metatrichoniscoides,Metatrichoniscoides leydigii
91,2,known_species,100.0,AY988424.1,good,Anopheles walkeri,Eukaryota,Opisthokonta,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles walkeri
92,3,known_species,100.0,AY305008.1,good,Raphidiophrys ambigua,,,,,,,Raphidiophrys,Raphidiophrys ambigua
93,3,known_species,100.0,AF178683.1,good,Anopheles clowi,Eukaryota,Opisthokonta,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles clowi
94,2,known_species,100.0,AY077769.1,good,Bovicola ovis,Eukaryota,Opisthokonta,Arthropoda,Insecta,,,Bovicola,Bovicola ovis
95,3,known_species,100.0,KF744080.1,good,Phacus mariae,Eukaryota,Discoba,,,,,Phacus,Phacus mariae
96,2,known_species,100.0,AY090051.1,good,Amblyospora indicola,Eukaryota,Opisthokonta,,,,,Amblyospora,Amblyospora indicola
97,4,known_species,100.0,KF705035.1,good,Endostelium amerosporum,Eukaryota,,Amoebozoa,,,,Endostelium,Endostelium amerosporum
98,2,known_species,100.0,GQ326911.1,good,Orienthella trilineata,Eukaryota,Opisthokonta,Mollusca,Gastropoda,,,Orienthella,Orienthella trilineata
99,2,known_species,100.0,KX889635.1,good,Euglena agilis,,,,,,,Euglena,Euglena agilis
100,2,known_species,100.0,JN936469.1,good,Nicolea zostericola,Eukaryota,Opisthokonta,Annelida,Polychaeta,,,Nicolea,Nicolea zostericola
101,6,known_species,100.0,KF744090.1,good,Phacus pusillus,,,,,,,Phacus,Phacus pusillus
102,2,known_species,100.0,AY336707.1,good,Taeniella carcini,Eukaryota,Opisthokonta,,,,,Taeniella,Taeniella carcini
103,3,known_species,100.0,KT304839.1,good,Lepocinclis spirogyroides,,,,,,,Lepocinclis,Lepocinclis spirogyroides
104,2,known_species,100.0,AF499749.1,good,Bugula neritina,Eukaryota,Opisthokonta,Bryozoa,,,,Bugula,Bugula neritina
105,3,known_species,100.0,AY233984.1,good,Neozygites floridana,,,,,,,Neozygites,Neozygites floridana
106,2,known_species,100.0,AY523032.1,good,Euglena stellata,Eukaryota,Discoba,,,,,Euglena,Euglena stellata
107,3,known_species,100.0,AF474320.1,good,Proceraea nigropunctata,Eukaryota,Opisthokonta,Annelida,Polychaeta,,,Proceraea,Proceraea nigropunctata
108,3,known_species,100.0,FJ040495.1,good,Ironus longicaudatus,Eukaryota,Opisthokonta,Nematoda,,,,Ironus,Ironus longicaudatus
109,3,known_species,100.0,DQ235446.1,good,Vairimorpha apis,Eukaryota,Opisthokonta,,,,,Vairimorpha,Vairimorpha apis
110,2,known_species,100.0,KF744074.1,good,Phacus limnophila,Eukaryota,Discoba,,,,,Phacus,Phacus limnophila
111,5,known_species,100.0,DQ980484.1,good,Peridinium limbatum,,,,,,,Peridinium,Peridinium limbatum
112,4,known_species,100.0,AY245756.1,good,Apharyngostrigea cornu,Eukaryota,Opisthokonta,Platyhelminthes,Trematoda,,,Pseudodiplodiscus,Apharyngostrigea cornu
113,2,known_species,100.0,KC753490.1,good,Dysteria lanceolata,Eukaryota,,Sar,Intramacronucleata,,,Dysteria,Dysteria lanceolata
114,2,known_species,100.0,JX481312.1,good,Trichia alpina,Eukaryota,,Amoebozoa,,,,Trichia,Trichia alpina
115,4,known_species,100.0,AY583970.1,good,Pomatocheles macrops,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Decapoda,,Pomatocheles,Pomatocheles macrops
116,5,known_species,100.0,EU815237.1,good,Conwentzia pineticola,Eukaryota,Opisthokonta,Arthropoda,Insecta,,,Conwentzia,Conwentzia pineticola
117,2,known_species,100.0,AB016021.2,good,Dispira cornuta,Eukaryota,Opisthokonta,,,,,Dispira,Dispira cornuta
118,2,known_species,100.0,AB712517.1,good,Ditiola radicata,Eukaryota,Opisthokonta,Basidiomycota,,,,Dacrymyces,Ditiola radicata
119,2,known_species,100.0,DQ286373.1,good,Entamoeba ecuadoriensis,Eukaryota,,Amoebozoa,,,,Entamoeba,Entamoeba ecuadoriensis
120,2,known_species,100.0,AY753614.1,good,Neobodo designis,,,,,,,Neobodo,Neobodo designis
121,3,known_species,100.0,EU815262.1,good,Neosemidalis farinosa,Eukaryota,Opisthokonta,Arthropoda,Insecta,,,Neosemidalis,Neosemidalis farinosa
122,2,known_species,100.0,KF744066.1,good,Phacus applanatus,Eukaryota,Discoba,,,,,Phacus,Phacus applanatus
123,3,known_species,100.0,JQ082890.1,good,Tubulinosema hippodamiae,Eukaryota,Opisthokonta,,,,,Tubulinosema,Tubulinosema hippodamiae
124,3,known_species,100.0,EF189633.1,good,Polyphemus pediculus,Eukaryota,Opisthokonta,Arthropoda,,,,Polyphemus,Polyphemus pediculus
125,3,known_species,100.0,AF403157.1,good,Lepocinclis oxyuris var. helicoidea,Eukaryota,Discoba,,,,,Lepocinclis,Lepocinclis oxyuris var. helicoidea
126,3,known_species,100.0,AF119811.1,good,Diplonema papillatum,Eukaryota,Discoba,,,,,Diplonema,Diplonema papillatum
127,2,known_species,100.0,EU414456.1,good,Eurycope glabra,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Isopoda,,Eurycope,Eurycope glabra
128,3,known_species,100.0,AB295399.1,good,Protomima imitatrix,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Amphipoda,,Protomima,Protomima imitatrix
129,2,known_species,100.0,AF279601.1,good,Campecopea hirsuta,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Isopoda,,Campecopea,Campecopea hirsuta
130,2,known_species,100.0,AF255687.1,good,Paragnathia formica,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Isopoda,,Paragnathia,Paragnathia formica
131,2,known_species,100.0,KY922119.1,good,Oziella atherodes,Eukaryota,Opisthokonta,Arthropoda,Arachnida,,,Oziella,Oziella atherodes
132,2,known_species,100.0,JN170220.1,good,Bembidion proprium,Eukaryota,Opisthokonta,Arthropoda,Insecta,Coleoptera,,Bembidion,Bembidion proprium
133,3,known_species,100.0,MF321752.1,good,Ptychopera unicornis,Eukaryota,Opisthokonta,Platyhelminthes,,,,Ptychopera,Ptychopera unicornis
134,3,known_species,100.0,EF513179.1,good,Schizoplasmodiopsis amoeboidea,Eukaryota,,Amoebozoa,,,,Schizoplasmodiopsis,Schizoplasmodiopsis amoeboidea
135,2,known_species,100.0,AB211069.1,good,Eudistoma gilboviride,Eukaryota,Opisthokonta,Chordata,,,,Eudistoma,Eudistoma gilboviride
136,5,known_species,100.0,KM222102.1,good,Helicoprorodon maximus,Eukaryota,,Sar,Intramacronucleata,,,Helicoprorodon,Helicoprorodon maximus
137,8,known_species,100.0,DQ229954.1,good,Platyamoeba contorta,,,,,,,Platyamoeba,Platyamoeba contorta
138,2,known_species,100.0,AF279603.1,good,Idotea baltica,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Isopoda,,Idotea,Idotea baltica
139,2,known_species,100.0,AY048181.1,good,Porcellionides pruinosus,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Isopoda,,Porcellionides,Porcellionides pruinosus
140,5,known_species,100.0,AY745573.1,good,Odontotaenius disjunctus,Eukaryota,Opisthokonta,Arthropoda,Insecta,Coleoptera,,Odontotaenius,Odontotaenius disjunctus
141,2,known_species,100.0,AY090065.1,good,Parathelohania obesa,Eukaryota,Opisthokonta,,,,,Parathelohania,Parathelohania obesa
142,2,known_species,100.0,KX138600.1,good,Blastocrithidia miridarum,Eukaryota,Discoba,,,,,Blastocrithidia,Blastocrithidia miridarum
143,2,known_species,100.0,KP343638.1,good,Rhizomastix bicoronata,,,,,,,Rhizomastix,Rhizomastix bicoronata
144,4,known_species,100.0,DQ826567.1,good,Pottsia serenei,Eukaryota,Opisthokonta,Arthropoda,,,,Pottsia,Pottsia serenei
145,3,known_species,100.0,KY016614.1,good,Pholcus phalangioides,Eukaryota,Opisthokonta,Arthropoda,Arachnida,,,Pholcus,Pholcus phalangioides
146,5,known_species,100.0,KY016563.1,good,Novodamus nodatus,Eukaryota,Opisthokonta,Arthropoda,Arachnida,,,Novodamus,Novodamus nodatus
147,4,known_species,100.0,KF539408.1,good,Sphenoderia pseudominuta,Eukaryota,,Sar,,,,Sphenoderia,Sphenoderia pseudominuta
148,3,known_species,100.0,FJ719630.1,good,Phacus orbicularis,,,,,,,Phacus,Phacus orbicularis
149,4,known_species,100.0,GU969186.1,good,Pleuromamma xiphias,Eukaryota,Opisthokonta,Arthropoda,,,,Pleuromamma,Pleuromamma xiphias
150,2,known_species,100.0,KC297614.1,good,Barbatospora ambicaudata,Eukaryota,Opisthokonta,,,,,Barbatospora,Barbatospora ambicaudata
151,5,known_species,100.0,FJ459758.1,good,Protomagalhaensia wolfi,Eukaryota,,Sar,,,,Protomagalhaensia,Protomagalhaensia wolfi
152,6,known_species,100.0,KY911462.1,good,Myxobolus taibaiensis,Eukaryota,Opisthokonta,Cnidaria,,,,Myxobolus,Myxobolus taibaiensis
153,2,known_species,100.0,AF132544.1,good,Caudospora palustris,Eukaryota,Opisthokonta,,,,,Caudospora,Caudospora palustris
154,3,known_species,100.0,GU358616.1,good,Hyperietta vosseleri,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Amphipoda,,Hyperietta,Hyperietta vosseleri
155,3,known_species,100.0,EU797410.1,good,Peltodytes dispersus,Eukaryota,Opisthokonta,Arthropoda,Insecta,Coleoptera,,Peltodytes,Peltodytes dispersus
156,2,known_species,100.0,AF150935.1,good,Lepocinclis spirogyroides,,,,,,,Lepocinclis,Lepocinclis spirogyroides
157,2,known_species,100.0,AF052401.1,good,Neoconidiobolus thromboides,Eukaryota,Opisthokonta,,,,,Neoconidiobolus,Neoconidiobolus thromboides
158,2,known_species,100.0,AB365203.1,good,Phaeothamnion confervicola,Eukaryota,,Sar,,,,Phaeothamnion,Phaeothamnion confervicola
159,2,known_species,100.0,AY604197.1,good,Chloromyxum legeri,Eukaryota,Opisthokonta,Cnidaria,,,,Chloromyxum,Chloromyxum legeri
160,3,known_species,100.0,KP881349.1,good,Hemolivia stellata,Eukaryota,,Sar,,,,Hemolivia,Hemolivia stellata
161,4,known_species,100.0,HQ286017.1,good,Crangonyx chlebnikovi,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Amphipoda,,Crangonyx,Crangonyx chlebnikovi
162,4,known_species,100.0,AY521864.1,good,Sialis hamata,Eukaryota,Opisthokonta,Arthropoda,Insecta,,,Sialis,Sialis hamata
163,4,known_species,100.0,JN232937.1,good,Trichoniscus pygmaeus,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Isopoda,,Trichoniscus,Trichoniscus pygmaeus
164,3,known_species,100.0,LN901442.1,good,Lecudina pellucida,Eukaryota,,Sar,,,,Lecudina,Lecudina pellucida
165,2,known_species,100.0,AF083002.1,good,Pelodera teres,Eukaryota,Opisthokonta,Nematoda,,,,Pelodera,Pelodera teres
166,2,known_species,100.0,EF999905.1,good,Colacium vesiculosum,,,,,,,Colacium,Colacium vesiculosum
167,2,known_species,100.0,AY602179.1,good,Prodontorhabditis wirthi,Eukaryota,Opisthokonta,Nematoda,,,,Prodontorhabditis,Prodontorhabditis wirthi
168,4,known_species,100.0,HM852977.1,good,Carchesium polypinum,,,,,,,Carchesium,Carchesium polypinum
169,2,known_species,100.0,KY476314.1,good,Chilodonella uncinata,,,,,,,Chilodonella,Chilodonella uncinata
170,2,known_species,100.0,MF373811.1,good,Pseudotrichonympha pearti,Eukaryota,Metamonada,,,,,Pseudotrichonympha,Pseudotrichonympha pearti
171,2,known_species,100.0,AJ318668.1,good,Peltodytes rotundatus,Eukaryota,Opisthokonta,Arthropoda,Insecta,Coleoptera,,Peltodytes,Peltodytes rotundatus
172,3,known_species,100.0,KY750745.1,good,Heliconympha glossotermitis,,,,,,,Heliconympha,Heliconympha glossotermitis
173,2,known_species,100.0,DQ300003.1,good,Siphonosoma vastum,Eukaryota,Opisthokonta,Annelida,,,,Siphonosoma,Siphonosoma vastum
174,2,known_species,100.0,KY951739.1,good,Thaumastosoma diva,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Isopoda,,Thaumastosoma,Thaumastosoma diva
175,7,known_species,100.0,AY090044.1,good,Amblyospora excrucii,Eukaryota,Opisthokonta,,,,,Amblyospora,Amblyospora excrucii
176,2,known_species,100.0,JF826421.1,good,Parathelohania tomski,Eukaryota,Opisthokonta,,,,,Parathelohania,Parathelohania tomski
177,3,known_species,100.0,EF363009.1,good,Cerylon ferrugineum,Eukaryota,Opisthokonta,Arthropoda,Insecta,Coleoptera,,Cerylon,Cerylon ferrugineum
178,4,known_species,100.0,KY922177.1,good,Caenolestomyobia faini,Eukaryota,Opisthokonta,Arthropoda,Arachnida,,,Caenolestomyobia,Caenolestomyobia faini
179,2,known_species,100.0,KT072969.1,good,Melosira varians,Eukaryota,,Sar,,,,Melosira,Melosira varians
180,2,known_species,100.0,MH357164.1,good,Leclercera undulata,Eukaryota,Opisthokonta,Arthropoda,Arachnida,,,Leclercera,Leclercera undulata
181,2,known_species,100.0,GQ327930.1,good,Rhodachlya hawaiiana,Eukaryota,,Rhodophyta,Florideophyceae,,,Rhodachlya,Rhodachlya hawaiiana
182,5,known_species,100.0,DQ073784.1,good,Coelopleurus floridanus,Eukaryota,Opisthokonta,Echinodermata,,,,Coelopleurus,Coelopleurus floridanus
183,4,known_species,100.0,FJ977632.1,good,Lottia gigantea,Eukaryota,Opisthokonta,Mollusca,Gastropoda,,,Lottia,Lottia gigantea
184,4,known_species,100.0,DQ272237.1,good,Thelohania disparis,Eukaryota,Opisthokonta,,,,,Thelohania,Thelohania disparis
185,4,known_species,100.0,JF699529.1,good,Dynamene curalii,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Isopoda,,Dynamene,Dynamene curalii
186,2,known_species,100.0,MG826112.1,good,Bysmatrum gregarium,Eukaryota,,Sar,,,,Bysmatrum,Bysmatrum gregarium
187,5,known_species,100.0,MF477220.1,good,Trichonympha collaris,Eukaryota,Metamonada,,,,,Trichonympha,Trichonympha collaris
188,4,known_species,100.0,AF255703.1,good,Colubotelson thomsoni,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Isopoda,,Colubotelson,Colubotelson thomsoni
189,2,known_species,100.0,MF100855.1,good,Henneguya gilbert,Eukaryota,Opisthokonta,Cnidaria,,,,Henneguya,Henneguya gilbert
