seqID,marker,cluster_id,cluster_probability
KF744079.1,SSU,1103,0.5382091
KF744078.1,SSU,2831,1.0
KF744077.1,SSU,258,0.6446222
KF744074.1,SSU,1127,1.0
KF744072.1,SSU,5681,1.0
KF744071.1,SSU,18185,1.0
KF744069.1,SSU,3749,0.9495966
KF744068.1,SSU,23565,1.0
KF744067.1,SSU,-1,0.0
KF744066.1,SSU,1518,0.84547865
AB923888.1,SSU,-1,0.0
AB923885.1,SSU,-1,0.0
KJ434103.1,SSU,19947,0.7758888
KJ680554.1,SSU,5336,0.5383826
KF725634.1,SSU,10608,1.0
KC142196.1,SSU,-1,0.0
KF381539.1,SSU,23493,1.0
KF381532.1,SSU,14025,1.0
KF054135.1,SSU,2867,1.0
KF054133.1,SSU,2867,0.7017907
KF054116.1,SSU,7025,1.0
KC157584.1,SSU,-1,0.0
KC157582.1,SSU,9204,1.0
KC875397.1,SSU,-1,0.0
KC875393.1,SSU,-1,0.0
KC875376.1,SSU,-1,0.0
AF168881.1,SSU,23173,0.8927533
AF168878.1,SSU,17379,1.0
AF168869.1,SSU,-1,0.0
AF168859.1,SSU,25286,1.0
AF168846.1,SSU,-1,0.0
AF168845.1,SSU,-1,0.0
AF168842.1,SSU,-1,0.0
AF168840.1,SSU,10337,1.0
AF168830.1,SSU,18958,1.0
AF168826.1,SSU,-1,0.0
AF168824.1,SSU,6814,0.95417106
JX443488.1,SSU,-1,0.0
FJ876958.1,SSU,-1,0.0
FJ876954.1,SSU,847,1.0
FJ876953.1,SSU,-1,0.0
FJ875141.1,SSU,-1,0.0
KC136706.1,SSU,12229,1.0
EF455780.1,SSU,-1,0.0
KC218424.1,SSU,25663,1.0
KC218399.1,SSU,19976,1.0
AF088806.1,SSU,15012,1.0
AF088803.1,SSU,22330,1.0
AF088802.1,SSU,10337,0.8003424
GU227368.1,SSU,7842,1.0
GU227365.1,SSU,635,1.0
KC109664.1,SSU,49,0.81934834
JX260349.1,SSU,5745,1.0
AY962433.1,SSU,13779,0.7175599
JX560856.1,SSU,-1,0.0
JX560851.1,SSU,13341,1.0
JX560848.1,SSU,3348,0.84629214
JX560815.1,SSU,13341,1.0
FJ876964.1,SSU,5821,1.0
FJ876963.1,SSU,-1,0.0
FJ876966.1,SSU,-1,0.0
HQ912687.1,SSU,-1,0.0
HQ912659.1,SSU,-1,0.0
HQ912658.1,SSU,-1,0.0
HQ912655.1,SSU,16033,0.8481405
HQ912617.1,SSU,14445,1.0
HQ912609.1,SSU,3294,0.5904056
HQ912606.1,SSU,13714,1.0
HQ912605.1,SSU,-1,0.0
HQ912597.1,SSU,9395,1.0
HQ912596.1,SSU,4134,0.9995891
HQ912587.1,SSU,15213,1.0
HQ912580.1,SSU,21657,1.0
HQ912573.1,SSU,24783,1.0
HQ912572.1,SSU,5434,1.0
HQ912568.1,SSU,7969,1.0
HQ912565.1,SSU,14624,1.0
HQ912564.1,SSU,18398,0.7800731
HQ912560.1,SSU,-1,0.0
HQ912554.1,SSU,15213,0.8815291
JN603867.1,SSU,128,1.0
JN603865.1,SSU,-1,0.0
JN603859.1,SSU,-1,0.0
JN603854.1,SSU,258,1.0
JN603849.1,SSU,-1,0.0
JN603842.1,SSU,9663,1.0
JN603838.1,SSU,9663,1.0
JN582047.1,SSU,1792,0.8617276
AY157184.1,SSU,-1,0.0
JN123371.1,SSU,-1,0.0
AF124475.1,SSU,-1,0.0
AF124471.1,SSU,19964,1.0
AF124465.1,SSU,4816,1.0
HM236339.1,SSU,-1,0.0
HM236337.1,SSU,5406,1.0
HM236336.1,SSU,-1,0.0
HM236335.1,SSU,24153,0.8975348
DQ003031.1,SSU,-1,0.0
JN592589.1,SSU,6950,0.78574544
JN592588.1,SSU,-1,0.0
AY526493.2,SSU,8740,0.7350635
AY526480.2,SSU,-1,0.0
AY526465.2,SSU,15574,0.80154204
JN227668.1,SSU,11578,1.0
JN565043.1,SSU,-1,0.0
HQ912416.1,SSU,-1,0.0
HQ912415.1,SSU,14237,1.0
HQ912412.1,SSU,17690,0.67564327
HQ912404.1,SSU,11313,0.76748097
AY548297.1,SSU,-1,0.0
AF242548.1,SSU,258,0.66562396
HQ173831.1,SSU,16688,1.0
HM230826.1,SSU,3614,1.0
HM230825.1,SSU,5682,1.0
FJ876965.1,SSU,23136,1.0
EU876564.1,SSU,-1,0.0
GU938870.1,SSU,-1,0.0
HQ419157.1,SSU,14799,0.8632171
AB284575.1,SSU,-1,0.0
AB284574.1,SSU,4167,1.0
HQ324898.1,SSU,20973,1.0
GU327678.1,SSU,21658,1.0
GU327677.1,SSU,10921,1.0
AY842018.1,SSU,-1,0.0
DQ534694.1,SSU,-1,0.0
DQ534692.1,SSU,-1,0.0
DQ534690.1,SSU,-1,0.0
DQ534686.1,SSU,5048,1.0
DQ534682.1,SSU,5048,1.0
DQ534680.1,SSU,5482,1.0
AY688729.1,SSU,18382,0.81242734
AY688719.1,SSU,12234,1.0
AY688707.1,SSU,21890,1.0
AY012398.1,SSU,24804,1.0
AY012385.1,SSU,-1,0.0
AY012384.1,SSU,12938,0.8741576
AY012358.1,SSU,-1,0.0
AY012355.1,SSU,13579,1.0
AY012353.1,SSU,10286,1.0
AY012352.1,SSU,20322,1.0
DQ862043.1,SSU,-1,0.0
DQ646550.1,SSU,24921,0.8262016
DQ646548.1,SSU,21996,1.0
DQ646543.1,SSU,24469,1.0
DQ646542.1,SSU,-1,0.0
DQ646540.1,SSU,10117,0.79357064
DQ646539.1,SSU,18801,0.97752345
DQ646537.1,SSU,18192,1.0
DQ646535.1,SSU,19407,1.0
DQ646534.1,SSU,25910,1.0
DQ646531.1,SSU,-1,0.0
AF518581.1,SSU,-1,0.0
AF518573.1,SSU,10480,1.0
AF518571.1,SSU,14646,1.0
AF518569.1,SSU,6067,0.9019857
FJ176819.1,SSU,-1,0.0
FJ176814.1,SSU,19738,1.0
FJ176799.1,SSU,20069,1.0
EU016076.1,SSU,6521,1.0
EF584581.1,SSU,-1,0.0
EF584576.1,SSU,-1,0.0
FJ842379.1,SSU,11139,1.0
EF014367.1,SSU,23667,1.0
DQ831029.2,SSU,-1,0.0
FJ981823.1,SSU,18341,1.0
EU107262.1,SSU,-1,0.0
EU107200.1,SSU,-1,0.0
EU107186.1,SSU,-1,0.0
EU107182.1,SSU,11815,1.0
EU272637.1,SSU,15760,0.9666702
EU272629.1,SSU,7674,1.0
EU272628.1,SSU,10820,0.9921471
EU272620.1,SSU,8067,1.0
EU272610.1,SSU,18619,1.0
EU272603.1,SSU,-1,0.0
EU272601.1,SSU,12917,1.0
DQ457623.1,SSU,24371,1.0
HM194822.1,SSU,-1,0.0
HM194788.1,SSU,15760,0.9274614
HM194779.1,SSU,13032,0.8970159
FJ231093.1,SSU,24238,1.0
GU187661.1,SSU,11298,0.782223
GU187660.1,SSU,-1,0.0
GU187652.1,SSU,-1,0.0
GU187638.1,SSU,-1,0.0
GU187612.1,SSU,18769,1.0
GQ229038.1,SSU,-1,0.0
AF202165.2,SSU,6766,1.0
AF202164.2,SSU,-1,0.0
AF202155.2,SSU,8451,1.0
FJ904646.1,SSU,3298,1.0
AF283311.1,SSU,-1,0.0
FJ595495.2,SSU,16311,1.0
FJ595494.2,SSU,9972,1.0
FJ595492.2,SSU,10619,0.8649554
FJ595490.2,SSU,663,1.0
EU797410.1,SSU,2824,1.0
EU797404.1,SSU,4008,1.0
EU694118.1,SSU,-1,0.0
EU346370.1,SSU,-1,0.0
EU334129.1,SSU,22135,1.0
EU334126.1,SSU,21304,1.0
EU334125.1,SSU,21304,1.0
EU334122.1,SSU,18151,1.0
EF492509.1,SSU,14704,0.9048319
EF492496.1,SSU,21658,0.9937722
EF492487.1,SSU,5635,1.0
EF180079.1,SSU,186,1.0
EF180077.1,SSU,-1,0.0
EF180076.1,SSU,4834,0.5420092
EF180075.1,SSU,-1,0.0
EF180068.1,SSU,-1,0.0
EF180067.1,SSU,15717,0.8369684
EF180064.1,SSU,5729,1.0
EF180063.1,SSU,11066,1.0
EF180062.1,SSU,-1,0.0
EF180058.1,SSU,21883,1.0
EF093787.1,SSU,11418,1.0
EF093784.1,SSU,-1,0.0
EF093783.1,SSU,-1,0.0
EF093779.1,SSU,-1,0.0
EF093778.1,SSU,14812,1.0
DQ915458.1,SSU,26711,1.0
DQ900740.1,SSU,10762,1.0
DQ898717.1,SSU,-1,0.0
DQ868350.1,SSU,-1,0.0
DQ790094.1,SSU,-1,0.0
DQ790078.1,SSU,-1,0.0
DQ514878.1,SSU,8193,1.0
DQ514870.1,SSU,20776,1.0
DQ514869.1,SSU,10688,1.0
DQ514866.1,SSU,16340,1.0
DQ514865.1,SSU,13595,1.0
DQ514859.1,SSU,10554,1.0
DQ514856.1,SSU,18773,1.0
DQ514852.1,SSU,-1,0.0
DQ514849.1,SSU,-1,0.0
DQ514846.1,SSU,3936,0.8773327
DQ414262.1,SSU,14054,1.0
DQ329170.1,SSU,-1,0.0
DQ079933.1,SSU,3528,1.0
DQ079931.1,SSU,-1,0.0
DQ079936.1,SSU,-1,0.0
DQ079934.1,SSU,-1,0.0
DQ079932.1,SSU,-1,0.0
DQ079929.1,SSU,-1,0.0
DQ079927.1,SSU,17364,0.9959059
DQ079926.1,SSU,-1,0.0
DQ079925.1,SSU,-1,0.0
DQ079921.1,SSU,7120,1.0
DQ079919.1,SSU,8293,0.802999
DQ079916.1,SSU,7352,0.88542444
DQ079914.1,SSU,12756,0.93645775
DQ073784.1,SSU,-1,0.0
DQ073777.1,SSU,-1,0.0
DQ062999.1,SSU,4997,1.0
DQ022780.1,SSU,-1,0.0
DQ022778.1,SSU,-1,0.0
DQ022775.1,SSU,25701,1.0
DQ022774.1,SSU,5140,1.0
DQ022770.1,SSU,-1,0.0
DQ022769.1,SSU,-1,0.0
DQ022766.1,SSU,-1,0.0
DQ022763.1,SSU,5699,1.0
DQ022762.1,SSU,-1,0.0
DQ022760.1,SSU,-1,0.0
DQ022757.1,SSU,-1,0.0
DQ011161.1,SSU,23628,1.0
AY900139.1,SSU,5024,0.8320281
AY900125.1,SSU,-1,0.0
AY789295.1,SSU,21962,1.0
AY602182.1,SSU,-1,0.0
AY602179.1,SSU,13875,0.6218102
AY602178.1,SSU,13875,0.67650884
AY542481.1,SSU,12161,1.0
AY505127.1,SSU,-1,0.0
AY428817.1,SSU,-1,0.0
AY428814.1,SSU,9017,1.0
AY302724.2,SSU,7768,1.0
AY336710.1,SSU,926,1.0
AY336709.1,SSU,-1,0.0
AY336707.1,SSU,186,1.0
AY336705.1,SSU,-1,0.0
AY336703.1,SSU,-1,0.0
AY228139.1,SSU,20215,0.9165576
AY228137.1,SSU,17344,0.9034884
AY228128.1,SSU,-1,0.0
AY425472.1,SSU,22438,1.0
AY425470.1,SSU,-1,0.0
AY425461.1,SSU,-1,0.0
AY302722.1,SSU,-1,0.0
AY295815.1,SSU,22727,1.0
AY295806.1,SSU,20262,1.0
AY077778.1,SSU,-1,0.0
AY077773.1,SSU,-1,0.0
AY077769.1,SSU,-1,0.0
AY077768.1,SSU,-1,0.0
AY077766.1,SSU,3598,1.0
AY077763.1,SSU,17145,0.9844244
AY077759.1,SSU,3550,1.0
AF279609.1,SSU,2014,0.6917422
AF279608.1,SSU,4596,1.0
AF279606.1,SSU,5227,1.0
AF279604.1,SSU,6043,1.0
AF279603.1,SSU,-1,0.0
AF279602.1,SSU,514,0.5190869
AF279601.1,SSU,-1,0.0
AF279600.1,SSU,1095,1.0
AF279599.1,SSU,6291,1.0
AF279598.1,SSU,1969,1.0
AF300287.1,SSU,-1,0.0
AF168741.1,SSU,10543,1.0
AF168738.1,SSU,13779,0.7384954
AY007454.1,SSU,2159,1.0
AF178683.1,SSU,8858,1.0
AF121062.1,SSU,-1,0.0
AF121060.1,SSU,2631,1.0
AF121055.1,SSU,8858,1.0
FJ816018.1,SSU,10762,1.0
GU067681.1,SSU,-1,0.0
FJ628363.1,SSU,9941,1.0
DQ975472.1,SSU,22066,1.0
DQ975471.1,SSU,17720,1.0
DQ822481.1,SSU,22066,1.0
AF310903.1,SSU,5811,1.0
AF310900.1,SSU,8479,0.9714539
AY629259.1,SSU,20885,1.0
AY629258.1,SSU,13683,1.0
AY627031.1,SSU,8125,0.9992569
AY627030.1,SSU,20388,0.9387485
AY627029.1,SSU,8682,1.0
AY627028.1,SSU,23458,1.0
AY627027.1,SSU,11756,0.6052821
AY627026.1,SSU,11877,1.0
AY627024.1,SSU,26712,1.0
AY627020.1,SSU,9472,0.9003662
AY627010.1,SSU,11756,0.7043268
AY627006.1,SSU,197,0.665174
AY627005.1,SSU,17507,0.77488816
AY627003.1,SSU,-1,0.0
AY626999.1,SSU,-1,0.0
AY626997.1,SSU,-1,0.0
AY546683.1,SSU,4384,1.0
AF464896.1,SSU,3183,1.0
AF445459.1,SSU,-1,0.0
AF371971.1,SSU,10914,1.0
AF352084.1,SSU,17093,1.0
AF352083.1,SSU,-1,0.0
AF352077.1,SSU,-1,0.0
AF352076.1,SSU,10416,0.55826104
AF245279.1,SSU,230,0.9409644
AF152104.1,SSU,-1,0.0
AF150935.1,SSU,-1,0.0
U81588.1,SSU,19831,0.8328424
U81578.1,SSU,2810,1.0
U81577.1,SSU,11135,1.0
AF021794.1,SSU,6818,0.8646542
AF021793.1,SSU,19779,0.7292092
AF069227.1,SSU,11813,1.0
U94730.1,SSU,-1,0.0
FJ897538.1,SSU,8171,1.0
DQ536484.1,SSU,26311,1.0
DQ536478.1,SSU,19618,1.0
FJ040500.1,SSU,-1,0.0
FJ040495.1,SSU,-1,0.0
FJ040487.1,SSU,-1,0.0
FJ040485.1,SSU,9823,1.0
FJ040484.1,SSU,18850,1.0
FJ040483.1,SSU,10735,1.0
FJ040482.1,SSU,-1,0.0
FJ040467.1,SSU,16033,1.0
FJ040408.1,SSU,24263,1.0
AF125167.3,SSU,7224,0.89917487
EU003189.1,SSU,-1,0.0
DQ234563.1,SSU,-1,0.0
DQ846889.1,SSU,18629,1.0
DQ832247.1,SSU,-1,0.0
DQ836000.1,SSU,-1,0.0
DQ831033.1,SSU,-1,0.0
DQ831026.1,SSU,-1,0.0
DQ789980.1,SSU,20529,1.0
DQ645507.1,SSU,-1,0.0
DQ631904.1,SSU,14560,0.68766797
DQ457627.1,SSU,10272,1.0
DQ444862.1,SSU,-1,0.0
DQ444860.1,SSU,-1,0.0
DQ234543.1,SSU,14139,1.0
AY552524.1,SSU,4997,0.6221953
DQ851568.1,SSU,-1,0.0
AF445461.1,SSU,622,1.0
DQ975473.1,SSU,-1,0.0
DQ837534.1,SSU,8587,1.0
DQ303922.1,SSU,14222,0.83111537
DQ093365.1,SSU,14310,1.0
AY741381.1,SSU,6585,0.5049802
DQ093794.1,SSU,-1,0.0
DQ367419.1,SSU,-1,0.0
DQ367418.1,SSU,18417,0.5964387
DQ008579.1,SSU,8029,1.0
DQ157745.1,SSU,-1,0.0
M87565.1,SSU,-1,0.0
AY625607.1,SSU,1538,0.928551
AY380823.1,SSU,3672,1.0
AF116004.1,SSU,23989,1.0
AF115997.1,SSU,20969,0.77854556
AY942187.1,SSU,-1,0.0
AY538333.1,SSU,-1,0.0
AY751497.1,SSU,12152,1.0
AY587130.1,SSU,-1,0.0
AY587129.1,SSU,6372,1.0
AY533147.1,SSU,11164,1.0
AY533146.1,SSU,21079,0.94390875
AY149896.1,SSU,13714,1.0
AY267345.1,SSU,-1,0.0
AY157183.1,SSU,12917,1.0
AF367857.1,SSU,4136,0.88674563
AY126431.1,SSU,-1,0.0
AY126429.1,SSU,17164,1.0
AY015004.1,SSU,-1,0.0
AF282914.1,SSU,16402,1.0
AF282910.1,SSU,26236,1.0
AF282909.1,SSU,7086,1.0
AF282908.1,SSU,17768,0.922002
AF109323.1,SSU,-1,0.0
AF109322.1,SSU,-1,0.0
AF315604.1,SSU,-1,0.0
AF278745.1,SSU,24881,1.0
U52357.1,SSU,13636,1.0
AF119501.2,SSU,25156,1.0
AF119499.2,SSU,19120,0.78883487
AF367719.1,SSU,26761,1.0
AF334754.1,SSU,20267,1.0
AF047198.1,SSU,-1,0.0
AF238301.1,SSU,-1,0.0
AF322406.1,SSU,-1,0.0
AF287833.1,SSU,9739,1.0
AF287829.1,SSU,-1,0.0
AF227234.1,SSU,-1,0.0
AF176951.1,SSU,23148,0.9050853
AF118851.2,SSU,19343,1.0
AF021880.1,SSU,15218,1.0
AF021879.1,SSU,-1,0.0
AF116011.1,SSU,24086,1.0
AF116007.1,SSU,19099,0.8716307
AF116002.1,SSU,-1,0.0
AF115994.1,SSU,8489,0.94684607
AF115986.1,SSU,25747,1.0
AF115984.1,SSU,-1,0.0
U70959.1,SSU,14560,1.0
AF083400.1,SSU,15321,0.9685471
AF083398.1,SSU,-1,0.0
AF032748.1,SSU,-1,0.0
AF032742.1,SSU,-1,0.0
AF032734.1,SSU,12632,1.0
AF032726.1,SSU,-1,0.0
AF069224.1,SSU,12031,1.0
AF069215.1,SSU,2254,1.0
AF069214.1,SSU,16724,0.7548359
AF069208.1,SSU,19572,1.0
AF069207.1,SSU,17689,1.0
AF047888.1,SSU,16685,0.9518469
U94373.1,SSU,10868,1.0
U94371.1,SSU,-1,0.0
U94370.1,SSU,-1,0.0
U57765.1,SSU,-1,0.0
U42658.1,SSU,22666,1.0
U42484.1,SSU,11895,0.89555556
U42473.1,SSU,22621,1.0
U68400.1,SSU,-1,0.0
MH301103.1,SSU,19215,0.9469765
MH029284.1,SSU,11164,1.0
MH385201.1,SSU,-1,0.0
MF959022.1,SSU,20518,0.7680841
MG751461.1,SSU,15345,1.0
MG751460.1,SSU,15345,0.91156596
MG751455.1,SSU,10878,1.0
MG751451.1,SSU,-1,0.0
MG751448.1,SSU,8293,0.99864554
MG751447.1,SSU,14554,1.0
MG751443.1,SSU,23888,1.0
LC375248.1,SSU,-1,0.0
LC375245.1,SSU,-1,0.0
MF616684.1,SSU,7832,1.0
MH819561.1,SSU,-1,0.0
LC274517.1,SSU,20174,1.0
LC213729.1,SSU,10337,1.0
AB975389.1,SSU,-1,0.0
MF804859.1,SSU,4513,1.0
MF278670.1,SSU,-1,0.0
MF278669.1,SSU,-1,0.0
LC367334.1,SSU,13796,1.0
KX495036.1,SSU,-1,0.0
AB675002.1,SSU,7120,0.7801129
AB674999.1,SSU,10303,1.0
AB674998.1,SSU,11135,1.0
AB674994.1,SSU,-1,0.0
AB674987.1,SSU,5102,0.9475881
AB674985.1,SSU,7120,0.82410234
AB674979.1,SSU,-1,0.0
AB674971.1,SSU,8828,1.0
AB674964.1,SSU,-1,0.0
AB674962.1,SSU,6990,1.0
AB674961.1,SSU,11510,1.0
AB674959.1,SSU,4229,1.0
AB674973.1,SSU,10164,1.0
MH732692.1,SSU,-1,0.0
LC054938.2,SSU,9972,1.0
LC056067.1,SSU,-1,0.0
LC054942.1,SSU,16753,0.78333217
LC054937.1,SSU,-1,0.0
LC054930.1,SSU,21964,1.0
LC054920.1,SSU,-1,0.0
MG264559.1,SSU,-1,0.0
MG264554.1,SSU,3817,1.0
MG264549.1,SSU,-1,0.0
MG264542.1,SSU,97,1.0
MG264536.1,SSU,-1,0.0
MG264527.1,SSU,-1,0.0
MG994954.1,SSU,3353,1.0
MF563970.1,SSU,12490,1.0
MH349021.1,SSU,-1,0.0
MH349019.1,SSU,1538,1.0
MG198568.1,SSU,-1,0.0
KJ609049.1,SSU,23973,1.0
MH017646.1,SSU,15295,1.0
KU525754.1,SSU,19627,1.0
KU525750.1,SSU,10430,0.9832877
KJ609050.1,SSU,-1,0.0
MG904951.1,SSU,6063,0.7659968
MG895442.1,SSU,-1,0.0
MG895441.1,SSU,-1,0.0
MG895440.1,SSU,1622,0.9190862
MG895438.1,SSU,-1,0.0
MG895433.1,SSU,26952,0.76509076
MG895431.1,SSU,24275,0.9580076
MG895428.1,SSU,20364,1.0
MG895425.1,SSU,24275,1.0
MG890600.1,SSU,3466,1.0
MG890596.1,SSU,26952,1.0
MG890591.1,SSU,17813,1.0
MG890590.1,SSU,27081,1.0
MG890588.1,SSU,17813,0.8880577
MG890586.1,SSU,-1,0.0
MG890585.1,SSU,24202,1.0
MG890583.1,SSU,20364,1.0
MG890581.1,SSU,-1,0.0
MG890576.1,SSU,24202,1.0
MG890575.1,SSU,19741,0.604279
MG890573.1,SSU,19741,1.0
MG890568.1,SSU,27243,1.0
MG890558.1,SSU,27081,1.0
MG890552.1,SSU,27409,1.0
MG890545.1,SSU,27409,1.0
MG890531.1,SSU,27243,1.0
MG890515.1,SSU,-1,0.0
MG890512.1,SSU,17813,1.0
MG890501.1,SSU,26952,1.0
MG890462.1,SSU,23797,0.7643676
MG890435.1,SSU,19741,1.0
MG890434.1,SSU,-1,0.0
LC328273.1,SSU,22289,1.0
MH357188.1,SSU,-1,0.0
MH357181.1,SSU,10524,0.87523276
MH357180.1,SSU,-1,0.0
MH357178.1,SSU,12364,1.0
MH357177.1,SSU,1814,1.0
MH357175.1,SSU,-1,0.0
MH357166.1,SSU,18221,0.87813306
MH357164.1,SSU,-1,0.0
MH357163.1,SSU,-1,0.0
MH357156.1,SSU,10524,1.0
MH357154.1,SSU,4446,0.6249988
MH357152.1,SSU,-1,0.0
MH357150.1,SSU,-1,0.0
MH357106.1,SSU,16136,1.0
MH357102.1,SSU,-1,0.0
MH357100.1,SSU,16136,1.0
MH357092.1,SSU,14217,1.0
MH357069.1,SSU,10524,0.973854
MH357035.1,SSU,-1,0.0
MH086824.1,SSU,14734,1.0
